iter	Passed	Remaining
0	8	4435
1	16	4043
2	23	3913
3	30	3814
4	39	3874
5	46	3807
6	54	3847
7	62	3831
8	69	3808
9	76	3750
10	83	3724
11	90	3693
12	97	3655
13	104	3640
14	111	3616
15	119	3609
16	126	3602
17	134	3601
18	141	3578
19	148	3570
20	158	3613
21	167	3639
22	175	3636
23	184	3650
24	191	3639
25	200	3650
26	208	3646
27	216	3652
28	225	3655
29	233	3664
30	242	3663
31	250	3670
32	259	3668
33	267	3667
34	275	3665
35	284	3669
36	292	3662
37	301	3660
38	309	3653
39	317	3648
40	325	3641
41	333	3638
42	341	3629
43	350	3628
44	358	3623
45	367	3622
46	375	3619
47	384	3620
48	393	3625
49	401	3612
50	408	3594
51	415	3579
52	422	3562
53	429	3549
54	436	3530
55	444	3525
56	451	3510
57	460	3512
58	469	3506
59	479	3518
60	492	3542
61	508	3594
62	517	3593
63	527	3591
64	535	3582
65	559	3676
66	565	3656
67	574	3647
68	580	3628
69	588	3613
70	596	3604
71	603	3584
72	610	3570
73	618	3561
74	626	3547
75	632	3530
76	640	3516
77	646	3499
78	653	3485
79	660	3469
80	667	3455
81	675	3443
82	682	3426
83	689	3416
84	697	3404
85	705	3395
86	711	3379
87	718	3364
88	726	3352
89	732	3336
90	740	3330
91	748	3317
92	755	3306
93	765	3304
94	779	3322
95	791	3329
96	801	3330
97	811	3327
98	824	3340
99	834	3337
100	844	3336
101	854	3334
102	864	3330
103	876	3336
104	890	3351
105	899	3344
106	909	3340
107	918	3333
108	927	3328
109	936	3319
110	944	3308
111	952	3301
112	961	3292
113	972	3291
114	980	3283
115	989	3276
116	1000	3273
117	1010	3269
118	1019	3264
119	1029	3258
120	1039	3254
121	1048	3248
122	1057	3240
123	1066	3232
124	1073	3219
125	1081	3209
126	1088	3195
127	1096	3187
128	1103	3172
129	1111	3162
130	1118	3151
131	1125	3138
132	1132	3126
133	1140	3113
134	1148	3104
135	1154	3090
136	1163	3083
137	1170	3071
138	1179	3063
139	1187	3052
140	1195	3043
141	1203	3033
142	1211	3024
143	1218	3013
144	1227	3004
145	1233	2991
146	1241	2980
147	1248	2969
148	1254	2955
149	1262	2946
150	1269	2934
151	1278	2926
152	1285	2914
153	1292	2903
154	1299	2891
155	1306	2880
156	1313	2869
157	1320	2859
158	1328	2849
159	1336	2840
160	1345	2833
161	1352	2822
162	1360	2813
163	1367	2802
164	1375	2792
165	1383	2784
166	1391	2775
167	1398	2764
168	1406	2754
169	1413	2744
170	1421	2735
171	1427	2722
172	1434	2712
173	1442	2702
174	1449	2692
175	1460	2687
176	1469	2681
177	1483	2683
178	1498	2687
179	1507	2680
180	1516	2672
181	1525	2665
182	1533	2656
183	1542	2648
184	1551	2641
185	1558	2631
186	1566	2622
187	1574	2612
188	1581	2603
189	1589	2593
190	1596	2582
191	1604	2573
192	1611	2563
193	1618	2553
194	1625	2542
195	1633	2533
196	1640	2523
197	1649	2515
198	1656	2505
199	1667	2500
200	1673	2489
201	1681	2481
202	1689	2471
203	1696	2460
204	1703	2450
205	1710	2440
206	1718	2432
207	1725	2422
208	1732	2412
209	1739	2401
210	1747	2392
211	1759	2390
212	1776	2393
213	1797	2402
214	1810	2400
215	1822	2395
216	1833	2391
217	1843	2384
218	1854	2379
219	1864	2372
220	1872	2364
221	1883	2358
222	1892	2350
223	1902	2344
224	1912	2337
225	1921	2329
226	1929	2320
227	1939	2313
228	1949	2306
229	1957	2298
230	1966	2290
231	1977	2284
232	1990	2280
233	1999	2272
234	2008	2265
235	2020	2259
236	2033	2257
237	2045	2252
238	2056	2246
239	2065	2237
240	2071	2226
241	2080	2217
242	2088	2208
243	2095	2198
244	2102	2188
245	2110	2179
246	2117	2169
247	2125	2159
248	2132	2149
249	2140	2140
250	2148	2131
251	2157	2123
252	2163	2112
253	2171	2103
254	2179	2093
255	2186	2084
256	2195	2075
257	2202	2066
258	2210	2056
259	2218	2047
260	2227	2039
261	2235	2030
262	2312	2083
263	2320	2074
264	2334	2070
265	2344	2062
266	2353	2053
267	2361	2044
268	2367	2033
269	2375	2023
270	2382	2013
271	2390	2003
272	2398	1994
273	2405	1984
274	2413	1974
275	2421	1965
276	2428	1955
277	2435	1945
278	2443	1935
279	2450	1925
280	2459	1917
281	2468	1908
282	2476	1899
283	2485	1890
284	2493	1881
285	2501	1871
286	2509	1862
287	2517	1853
288	2525	1843
289	2533	1834
290	2541	1825
291	2550	1816
292	2557	1806
293	2565	1797
294	2572	1787
295	2579	1777
296	2587	1768
297	2596	1759
298	2604	1751
299	2611	1740
300	2618	1731
301	2625	1721
302	2633	1712
303	2640	1702
304	2649	1693
305	2656	1684
306	2663	1674
307	2671	1665
308	2679	1656
309	2688	1647
310	2694	1637
311	2702	1628
312	2709	1619
313	2717	1610
314	2724	1600
315	2732	1590
316	2739	1581
317	2746	1572
318	2753	1562
319	2759	1552
320	2767	1543
321	2775	1534
322	2783	1525
323	2790	1515
324	2798	1506
325	2805	1497
326	2813	1488
327	2820	1478
328	2829	1470
329	2836	1461
330	2844	1452
331	2852	1443
332	2860	1434
333	2867	1425
334	2873	1415
335	2880	1406
336	2887	1396
337	2895	1387
338	2903	1378
339	2910	1369
340	2917	1360
341	2925	1351
342	2932	1342
343	2940	1333
344	2947	1324
345	2953	1314
346	2961	1305
347	2968	1296
348	2978	1288
349	2986	1280
350	2995	1271
351	3001	1261
352	3009	1253
353	3016	1243
354	3023	1235
355	3031	1226
356	3038	1217
357	3045	1208
358	3053	1199
359	3060	1190
360	3067	1181
361	3074	1172
362	3081	1163
363	3089	1154
364	3097	1145
365	3104	1136
366	3110	1127
367	3117	1118
368	3125	1109
369	3133	1101
370	3140	1092
371	3147	1083
372	3154	1074
373	3161	1065
374	3169	1056
375	3175	1047
376	3184	1039
377	3191	1030
378	3198	1021
379	3207	1012
380	3214	1003
381	3222	995
382	3229	986
383	3238	978
384	3244	969
385	3252	960
386	3260	951
387	3269	943
388	3278	935
389	3284	926
390	3291	917
391	3298	908
392	3305	899
393	3311	890
394	3319	882
395	3328	874
396	3336	865
397	3343	856
398	3350	848
399	3357	839
400	3365	830
401	3372	822
402	3381	813
403	3389	805
404	3396	796
405	3404	788
406	3412	779
407	3420	771
408	3428	762
409	3437	754
410	3444	745
411	3450	737
412	3458	728
413	3466	719
414	3472	711
415	3480	702
416	3487	694
417	3494	685
418	3502	677
419	3509	668
420	3516	659
421	3527	652
422	3535	643
423	3542	634
424	3549	626
425	3557	618
426	3565	609
427	3572	600
428	3579	592
429	3586	583
430	3594	575
431	3602	567
432	3609	558
433	3617	550
434	3625	541
435	3631	533
436	3638	524
437	3645	516
438	3652	507
439	3660	499
440	3668	490
441	3676	482
442	3683	473
443	3690	465
444	3696	456
445	3704	448
446	3711	440
447	3719	431
448	3726	423
449	3732	414
450	3742	406
451	3748	398
452	3756	389
453	3762	381
454	3769	372
455	3776	364
456	3783	355
457	3790	347
458	3798	339
459	3807	331
460	3815	322
461	3823	314
462	3830	306
463	3838	297
464	3844	289
465	3853	281
466	3860	272
467	3867	264
468	3874	256
469	3883	247
470	3891	239
471	3898	231
472	3906	223
473	3916	214
474	3923	206
475	3931	198
476	3940	190
477	3949	181
478	3958	173
479	3966	165
480	3975	157
481	3983	148
482	3992	140
483	4001	132
484	4009	123
485	4017	115
486	4026	107
487	4035	99
488	4043	90
489	4052	82
490	4061	74
491	4069	66
492	4077	57
493	4084	49
494	4092	41
495	4100	33
496	4107	24
497	4116	16
498	4122	8
499	4132	0
